"laptop_ID","Company","TypeName","Inches","ScreenResolution","Cpu","Ram (GB)","Storage (GB)","SSD or Flash","Gpu","OpSys","Weight","Price_euros"
"53","HP","Notebook","15.6","1920x1080","AMD","4","256","1","AMD","Windows 10","1.86","398.49"
"54","HP","Notebook","13.3","1920x1080","i7","8","512","1","Intel","Windows 10","1.49","1103.00"
"55","Acer","Notebook","15.6","1366x768","i3","4","1024","0","Intel","Windows 10","2.4","384.00"
"56","Dell","Notebook","15.6","1920x1080","i7","8","256","1","AMD","Windows 10","2.13","767.80"
"57","HP","Notebook","15.6","1920x1080","i3","4","128","1","Intel","Windows 10","1.91","439.00"
"58","Asus","Notebook","15.6","1366x768","i5","4","256","1","Intel","Windows 10","2","586.19"
"59","MSI","Gaming","17.3","1920x1080","i7","16","256","1","Nvidia","Windows 10","2.43","2449.00"
"60","Asus","Notebook","15.6","1920x1080","i3","4","256","1","Intel","Linux","2","415.00"
"61","Dell","Notebook","17.3","1920x1080","i7","16","256","1","AMD","Windows 10","2.8","1299.00"
"62","Dell","Ultrabook","14","1920x1080","i5","8","256","1","Intel","Windows 10","1.7","879.00"
"63","Lenovo","Notebook","14","1920x1080","i3","8","256","1","Intel","No OS","1.7","599.00"
"64","Asus","Notebook","14","1920x1080","i5","8","256","1","Intel","Windows 10","1.4","941.00"
"66","HP","Notebook","15.6","1920x1080","i5","8","256","1","Intel","Windows 10","1.86","690.00"
"67","Asus","Ultrabook","15.6","1920x1080","i7","16","512","1","Nvidia","Windows 10","1.8","1983.00"
"68","HP","Notebook","15.6","1366x768","i3","4","512","0","AMD","Windows 10","1.86","438.69"
"69","HP","Notebook","14","1366x768","Celeron","4","32","1","Intel","Windows 10","1.44","229.00"
"70","Lenovo","Notebook","15.6","1920x1080","i5","4","1024","0","Intel","Windows 10","1.9","549.00"
"71","Asus","Gaming","17.3","1920x1080","i7","12","1024","0","Nvidia","Linux","3","949.00"
"72","Microsoft","Ultrabook","13.5","4k","i5","4","128","1","Intel","Windows 10","1,252","1089.00"
"73","Dell","Ultrabook","13.3","1920x1080","i7","8","256","1","AMD","Windows 10","1.4","955.00"
"74","Dell","Notebook","15.6","1920x1080","i7","8","256","1","AMD","Windows 10","2.2","870.00"
"75","MSI","Gaming","17.3","1920x1080","i5","8","128","1","Nvidia","Windows 10","2.7","1095.00"
"76","Acer","Notebook","14","1366x768","i3","8","1024","0","Intel","Windows 10","2.1","389.00"
"77","Asus","Gaming","15.6","1920x1080","i7","8","1024","0","Nvidia","Windows 10","2.2","949.00"
"78","Lenovo","Notebook","15.6","1920x1080","i5","8","2048","0","Intel","No OS","2.2","519.00"
"79","Dell","Notebook","15.6","1920x1080","i7","8","128","1","Intel","Windows 10","2.02","855.00"
"80","Acer","Notebook","15.6","1920x1080","i3","4","1024","0","Nvidia","Windows 10","2.2","530.00"
"81","HP","Notebook","17.3","1920x1080","i5","8","128","1","Nvidia","Windows 10","2.5","977.00"
"82","Dell","Ultrabook","15.6","1920x1080","i5","8","256","1","Intel","Windows 10","1.88","1096.16"
"83","Apple","Ultrabook","12","4k","i5","8","512","1","Intel","Mac OS X","0.92","1510.00"
"84","HP","Notebook","14","1920x1080","i5","8","256","1","Intel","Windows 10","1.63","860.00"
"85","Lenovo","Notebook","15.6","1920x1080","AMD","4","128","1","AMD","Windows 10","2.2","399.00"
"86","Acer","Notebook","15.6","1366x768","AMD","4","1024","0","AMD","Windows 10","2.1","395.00"
"87","Dell","Gaming","15.6","1920x1080","i7","16","128","1","Nvidia","Windows 10","2.65","1349.00"
"88","HP","Ultrabook","15.6","1920x1080","i7","8","256","1","Nvidia","Windows 10","1.83","699.00"
"89","HP","Notebook","15.6","1920x1080","i5","8","256","1","Intel","Windows 10","1.96","598.99"
"90","Asus","Gaming","15.6","1920x1080","i7","16","128","1","Nvidia","Windows 10","2.2","1449.00"
"91","Dell","Ultrabook","13.3","1920x1080","i7","8","256","1","Intel","Windows 10","1.21","1649.00"
"92","Asus","Gaming","15.6","1920x1080","AMD","8","1024","0","AMD","Windows 10","2.45","699.00"
"93","Acer","Notebook","15.6","1920x1080","i7","8","1024","0","Nvidia","Windows 10","2.2","689.00"
"94","HP","Notebook","13.3","1920x1080","i7","16","512","1","Intel","Windows 10","1.49","1197.00"
"95","Dell","Gaming","15.6","1920x1080","i5","8","256","1","Nvidia","Windows 10","2.65","1195.00"
"96","Asus","Ultrabook","14","1920x1080","i7","8","256","1","Intel","Windows 10","1.25","1049.00"
"97","Acer","2 in 1 Convertible","13.3","1920x1080","i5","8","256","1","Intel","Windows 10","1.5","847.00"
"98","Dell","Notebook","15.6","1920x1080","i7","8","1024","0","AMD","Linux","2.2","599.90"
"99","Dell","Notebook","15.6","1920x1080","i3","4","256","1","AMD","Linux","2.2","485.00"
"100","Asus","Notebook","15.6","1920x1080","i3","6","256","1","Nvidia","Windows 10","2","577.00"
"102","HP","Gaming","15.6","1920x1080","i7","12","128","1","Nvidia","Windows 10","2.62","1249.00"
"103","HP","Notebook","15.6","1920x1080","i7","8","256","1","AMD","Windows 10","1.91","719.00"
"104","HP","Notebook","15.6","1920x1080","AMD","4","512","0","AMD","Windows 10","2.1","349.00"
"105","Dell","Notebook","15.6","1920x1080","i5","8","1024","0","AMD","Linux","2.2","647.00"
"106","HP","Ultrabook","13.3","1920x1080","i7","8","256","1","Nvidia","Windows 10","1.38","1119.00"
"107","Microsoft","Ultrabook","13.5","4k","i5","8","256","1","Intel","Windows 10","1,252","1340.00"
"108","HP","Notebook","14","1920x1080","i5","6","256","1","Nvidia","Windows 10","1.58","659.00"
"109","Lenovo","Notebook","15.6","1920x1080","i3","4","1024","0","Intel","Windows 10","1.85","414.90"
"110","Asus","Ultrabook","14","1920x1080","i7","8","256","1","Nvidia","Windows 10","1.3","1193.00"
"111","MSI","Gaming","15.6","1920x1080","i7","16","256","1","Nvidia","Windows 10","2.2","1299.00"
"112","Lenovo","Notebook","14","1920x1080","i7","8","256","1","Intel","Windows 10","1.58","1480.00"
"113","Asus","Ultrabook","15.6","1920x1080","i7","16","256","1","Nvidia","Windows 10","1.5","1262.00"
"114","Dell","Ultrabook","13.3","4k","i7","8","256","1","Intel","Windows 10","1.23","1379.00"
"115","Lenovo","2 in 1 Convertible","13.3","1920x1080","i5","8","256","1","Intel","Windows 10","1.37","1399.00"
"116","HP","Notebook","14","1366x768","i5","4","512","0","Intel","Windows 10","1.63","722.00"
"117","Dell","Ultrabook","13.3","1920x1080","i5","8","256","1","Intel","Windows 10","1.21","1629.00"
"118","HP","2 in 1 Convertible","13.3","1920x1080","i5","8","256","1","Intel","Windows 10","1.26","1398.99"
"119","HP","Notebook","14","1920x1080","i7","8","512","1","Intel","Windows 10","1.63","1084.00"
"120","Dell","Notebook","15.6","1920x1080","i7","8","256","1","Nvidia","Windows 10","2.16","1130.33"
"121","Asus","Notebook","17.3","1920x1080","i3","4","1024","0","Nvidia","Windows 10","2","564.00"
"122","Asus","Notebook","15.6","1920x1080","i7","8","256","1","Nvidia","Windows 10","1.7","1118.00"
"123","Acer","Notebook","15.6","1920x1080","i3","6","1024","0","Intel","Windows 10","2.1","479.00"
"124","MSI","Gaming","15.6","1920x1080","i7","16","256","1","Nvidia","Windows 10","1.8","2241.50"
"125","Lenovo","Notebook","15.6","1920x1080","i5","8","256","1","Nvidia","No OS","2.2","629.00"
"126","HP","Notebook","17.3","1920x1080","i7","16","512","1","Nvidia","Windows 10","2.5","1271.00"
"127","Acer","Notebook","15.6","1366x768","AMD","4","256","1","AMD","Windows 10","2.1","451.00"
"128","HP","Notebook","15.6","1366x768","Celeron","4","512","0","Intel","No OS","1.86","259.00"
"129","HP","Notebook","14","1920x1080","i5","8","1024","0","Intel","Windows 10","1.63","812.00"
"130","Asus","Notebook","14","1366x768","AMD","4","64","1","AMD","Windows 10","1.65","277.99"
"131","Dell","Notebook","17.3","1920x1080","i7","16","256","1","AMD","Windows 10","2.8","1396.00"
"132","HP","Notebook","17.3","1920x1080","i5","8","256","1","Intel","Windows 10","2.5","928.00"
"133","Dell","Notebook","15.6","1366x768","i5","8","1024","0","AMD","Windows 10","2.36","638.99"
"134","Dell","Notebook","15.6","1920x1080","i3","4","1024","0","AMD","Windows 10","2.2","449.00"
"135","Acer","Ultrabook","14","1920x1080","i7","8","256","1","Intel","Windows 10","1.6","884.00"
"136","Acer","Notebook","15.6","1920x1080","i3","4","256","1","Nvidia","Windows 10","2.2","572.00"
"137","HP","Notebook","15.6","1366x768","i7","8","1024","0","Intel","Windows 10","2.05","598.00"
"138","HP","Notebook","14","1920x1080","i7","8","256","1","Intel","Windows 10","1.63","988.00"
"139","Lenovo","Notebook","15.6","1366x768","Celeron","4","1024","0","Intel","No OS","1.9","252.36"
"140","Asus","Gaming","17.3","1920x1080","i5","8","128","1","Nvidia","Windows 10","3","938.00"
"141","Lenovo","Notebook","15.6","1920x1080","i5","4","1024","0","Nvidia","No OS","2.2","499.00"
"142","HP","Notebook","13.3","1920x1080","i5","4","256","1","Intel","Windows 10","1.32","699.00"
"143","Acer","Notebook","17.3","1920x1080","i3","4","1024","0","Nvidia","Windows 10","3","655.00"
"144","Lenovo","Notebook","14","1920x1080","i5","8","256","1","AMD","Windows 10","1.75","1116.02"
"145","Lenovo","Gaming","15.6","1920x1080","i7","8","256","1","Nvidia","No OS","2.4","869.00"
"146","Toshiba","Notebook","15.6","1366x768","i5","4","512","0","Intel","Windows 10","2.1","602.00"
"147","HP","Notebook","15.6","1366x768","AMD","4","256","1","AMD","Windows 10","1.86","369.00"
"148","Asus","Ultrabook","14","1920x1080","i7","8","256","1","Intel","Windows 10","1.25","1099.00"
"149","HP","Ultrabook","12.5","4k","Core M","8","512","1","Intel","Windows 10","0.97","2014.00"
"150","Asus","Notebook","15.6","1920x1080","Celeron","4","1024","0","Intel","Windows 10","2","344.00"
"151","MSI","Gaming","17.3","1920x1080","i7","16","256","1","Nvidia","Windows 10","2.9","2029.00"
"152","Acer","Notebook","15.6","1366x768","i3","4","1024","0","Intel","Windows 10","2.1","447.00"
"153","Dell","Gaming","15.6","1920x1080","i7","16","512","1","Nvidia","Windows 10","2.56","1249.26"
"154","Dell","Gaming","15.6","1920x1080","i7","8","1024","0","Nvidia","Windows 10","2.62","899.00"
"155","Lenovo","Notebook","15.6","1366x768","i5","4","128","1","Intel","Windows 10","1.9","498.00"
"156","MSI","Gaming","17.3","1920x1080","i7","16","256","1","Nvidia","Windows 10","2.8","1890.00"
"157","HP","Ultrabook","14","1920x1080","i5","4","256","1","Intel","Windows 10","1.48","1082.00"
"158","HP","Notebook","15.6","1920x1080","i5","6","256","1","AMD","Windows 10","1.91","619.00"
"159","Lenovo","2 in 1 Convertible","14","1920x1080","i3","4","256","1","Intel","Windows 10","1.74","629.00"
"160","Asus","2 in 1 Convertible","13.3","1920x1080","i5","8","256","1","Intel","Windows 10","1.1","1315.00"
"161","Dell","2 in 1 Convertible","15.6","1920x1080","i7","8","256","1","Intel","Windows 10","1.56","1049.00"
"163","Toshiba","Notebook","15.6","1366x768","i3","4","512","0","Intel","Windows 10","2.1","447.00"
"164","Asus","Notebook","15.6","1366x768","AMD","4","1024","0","AMD","Windows 10","2.03","403.00"
"165","Acer","Notebook","17.3","1920x1080","i5","4","256","1","Nvidia","Windows 10","3","805.00"
"166","Dell","Notebook","15.6","1920x1080","i5","8","256","1","AMD","Windows 10","2.13","728.00"
"167","Lenovo","Gaming","15.6","1920x1080","i7","16","256","1","Nvidia","Windows 10","2.5","1079.00"
"168","Acer","Notebook","15.6","1366x768","Celeron","4","1024","0","Intel","Windows 10","2.1","348.00"
"169","MSI","Gaming","15.6","1920x1080","i7","16","256","1","Nvidia","Windows 10","2.4","1799.00"
"170","Acer","Notebook","15.6","1366x768","Quad Core","4","1024","0","Intel","Windows 10","2.1","363.51"
"171","Dell","Gaming","15.6","1920x1080","i7","8","128","1","Nvidia","Windows 10","2.56","1060.49"
"172","Acer","Notebook","17.3","1920x1080","i5","8","256","1","Nvidia","Windows 10","3","854.00"
"173","HP","Notebook","13.3","1920x1080","i5","4","512","0","Intel","Windows 10","1.49","754.00"
"175","HP","Notebook","17.3","1920x1080","i5","6","2048","0","AMD","Windows 10","2.71","699.00"
"176","Lenovo","Notebook","15.6","1366x768","AMD","4","512","0","AMD","No OS","2.2","309.00"
"177","Toshiba","Notebook","15.6","1366x768","i3","4","512","0","Intel","Windows 10","2","489.00"
"178","HP","Notebook","17.3","1920x1080","i5","8","256","1","Nvidia","Windows 10","2.5","923.00"
"179","Dell","Notebook","15.6","1366x768","i3","8","1024","0","Intel","Windows 10","2.3","459.00"
"180","Acer","Notebook","15.6","1366x768","i3","4","128","1","Intel","Windows 10","2.1","449.00"
"181","MSI","Gaming","18.4","1920x1080","i7","32","512","1","Nvidia","Windows 10","4.4","2799.00"
"182","Lenovo","Notebook","15.6","1920x1080","i5","8","128","1","AMD","Windows 10","1.90","813.00"
"183","HP","2 in 1 Convertible","13.3","4k","i5","8","256","1","Intel","Windows 10","1.29","1499.00"
"184","Dell","Notebook","15.6","1920x1080","i7","16","256","1","AMD","Linux","2.02","1049.00"
"185","Dell","Ultrabook","13.3","1920x1080","i5","8","256","1","Intel","Windows 10","1.23","1399.00"
"186","Lenovo","2 in 1 Convertible","13.9","4k","i7","16","512","1","Intel","Windows 10","1.4","1849.00"
"187","Toshiba","Notebook","15.6","1366x768","i5","8","128","1","Intel","Windows 10","2.0","793.00"
"188","Xiaomi","Notebook","15.6","1920x1080","i5","8","256","1","Nvidia","No OS","1.95","1199.00"
"189","Dell","Notebook","17.3","1920x1080","i7","16","512","1","Nvidia","Windows 10","2.77","1549.00"
"190","Dell","Notebook","15.6","4k","i7","16","512","1","Nvidia","Windows 10","2.06","2397.00"
"191","Lenovo","Gaming","15.6","1920x1080","i5","8","256","1","Nvidia","No OS","2.4","779.00"
"192","Acer","Ultrabook","13.3","1920x1080","i5","8","256","1","Intel","Windows 10","1.12","989.00"
"193","Dell","Notebook","17.3","1920x1080","i7","8","128","1","AMD","Windows 10","2.8","1085.00"
"194","Lenovo","2 in 1 Convertible","14","4k","i7","16","1024","1","Intel","Windows 10","1.42","2824.00"
"196","Xiaomi","Ultrabook","13.3","1920x1080","i5","8","256","1","Nvidia","No OS","1.3","999.90"
"197","Lenovo","Notebook","17.3","1600x900","i5","8","256","1","Nvidia","No OS","2.8","698.00"
"198","Dell","2 in 1 Convertible","13.3","1920x1080","i7","8","1024","0","Intel","Windows 10","1.62","839.00"
"199","HP","Notebook","17.3","1920x1080","i5","8","1024","0","Nvidia","Windows 10","2.5","914.00"
"200","Razer","Gaming","17.3","4k","i7","32","1024","1","Nvidia","Windows 10","3.49","6099.00"
"201","HP","Notebook","13.3","1920x1080","i5","8","512","1","Intel","Windows 10","1.49","959.00"
"202","HP","Gaming","17.3","1920x1080","i7","16","256","1","Nvidia","Windows 10","3.35","1379.00"
"203","HP","Notebook","17.3","1920x1080","i7","8","256","1","Nvidia","Windows 10","2.5","1045.00"
"204","Dell","Gaming","15.6","4k","i7","16","512","1","Nvidia","Windows 10","2.65","1845.00"
"205","Lenovo","Notebook","15.6","1366x768","i5","4","128","1","Intel","Windows 10","2.1","493.00"
"206","Acer","Notebook","15.6","1920x1080","i7","8","1024","0","Nvidia","Windows 10","2.23","742.00"
"207","Lenovo","Gaming","15.6","1920x1080","i7","16","512","1","Nvidia","Windows 10","3.2","1749.00"
"208","Dell","Workstation","15.6","4k","Xeon","16","256","1","Nvidia","Windows 10","2.8","3055.00"
"209","Lenovo","Gaming","15.6","1920x1080","i7","16","512","1","Nvidia","No OS","2.4","1398.00"
"210","Dell","Notebook","15.6","1366x768","i3","6","1024","0","Intel","Windows 10","2.3","439.00"
"211","Dell","Ultrabook","13.3","4k","i7","8","256","1","Intel","Windows 10","1.21","1949.00"
"212","Dell","Ultrabook","13.3","1920x1080","i7","8","256","1","Intel","Windows 10","1.2","1449.00"
"213","Lenovo","Notebook","15.6","1366x768","i5","8","256","1","Intel","Windows 10","2.2","597.00"
"215","Acer","Notebook","15.6","1920x1080","i7","8","1024","0","Nvidia","Linux","2.4","779.00"
"216","Asus","Gaming","17.3","1920x1080","i7","16","256","1","Nvidia","Windows 10","2.9","1407.00"
"217","HP","Notebook","15.6","1920x1080","i3","4","512","0","Intel","No OS","2.1","349.00"
"218","Lenovo","Notebook","15.6","1920x1080","i5","8","256","1","Intel","No OS","2.2","549.00"
"220","Dell","Ultrabook","13.3","1920x1080","i7","8","256","1","AMD","Windows 10","1.4","931.88"
"221","Lenovo","Notebook","17.3","1600x900","i5","8","1024","0","Nvidia","No OS","2.8","589.00"
"222","HP","Notebook","14","1920x1080","i7","8","256","1","Nvidia","Windows 10","1.63","1031.00"
"223","Dell","Ultrabook","14","1920x1080","i5","8","256","1","Intel","Windows 10","1.6","1149.00"
"224","Dell","2 in 1 Convertible","13.3","1920x1080","i7","16","512","1","Intel","Windows 10","1.62","1279.00"
"225","Dell","Notebook","15.6","1920x1080","i5","8","256","1","AMD","Linux","2.2","677.35"
"226","Lenovo","2 in 1 Convertible","14","1920x1080","i5","8","256","1","Intel","Windows 10","1.74","899.00"
"227","Toshiba","Ultrabook","13.3","1920x1080","i7","8","256","1","Intel","Windows 10","1.2","1363.00"
"228","HP","Notebook","15.6","1920x1080","i5","8","1024","0","Intel","Windows 10","2.1","794.00"
"229","Dell","Gaming","17.3","1920x1080","i7","16","256","1","Nvidia","Windows 10","4.42","2456.34"
"230","Acer","Notebook","15.6","1920x1080","i7","8","256","1","Nvidia","Windows 10","2.2","832.00"
"231","Dell","Notebook","15.6","1920x1080","i7","16","1024","0","AMD","Windows 10","2.3","859.01"
"232","Asus","Notebook","15.6","1920x1080","i5","8","256","1","Nvidia","Windows 10","2","769.00"
"233","Asus","Notebook","17.3","1920x1080","i5","8","256","1","Nvidia","Windows 10","2.69","891.00"
"234","HP","Notebook","15.6","1920x1080","i7","8","1024","0","AMD","Windows 10","1.9","1269.00"
"235","Asus","Notebook","15.6","1366x768","i3","4","1024","0","Intel","Windows 10","2.37","398.99"
"236","HP","Notebook","15.6","1366x768","AMD","4","512","0","AMD","Windows 10","2.1","330.00"
"237","Lenovo","Gaming","15.6","1920x1080","i7","16","256","1","Nvidia","Windows 10","3.2","1499.00"
"238","Dell","Notebook","14","1920x1080","i5","8","256","1","Intel","Windows 10","1.6","859.00"
"239","Acer","2 in 1 Convertible","13.3","1920x1080","i5","8","256","1","Intel","Windows 10","1.6","689.00"
"240","Dell","Notebook","15.6","1920x1080","i7","16","256","1","AMD","Linux","2.36","899.00"
"241","Acer","Notebook","15.6","1366x768","i3","4","1024","0","Intel","Linux","2.1","390.00"
"242","Asus","Notebook","15.6","1920x1080","AMD","4","128","1","AMD","Windows 10","2.2","575.00"
"243","Asus","Gaming","17.3","1920x1080","i7","32","512","1","Nvidia","Windows 10","4.7","3890.00"
"244","Acer","Gaming","15.6","1920x1080","i5","8","256","1","Nvidia","Windows 10","2.5","846.00"
"245","Lenovo","Notebook","15.6","1366x768","i3","8","128","1","Intel","Windows 10","2.2","589.00"
"246","Asus","Notebook","17.3","1920x1080","i7","8","128","1","Nvidia","Windows 10","2.1","1145.00"
"247","Asus","Notebook","17.3","1920x1080","i7","8","128","1","Nvidia","No OS","2.69","889.00"
"248","Dell","Gaming","15.6","1920x1080","i5","8","256","1","Nvidia","Windows 10","2.56","879.00"
"249","Lenovo","2 in 1 Convertible","13.9","1920x1080","i7","8","256","1","Intel","Windows 10","1.38","1079.00"
"250","Dell","Notebook","15.6","1920x1080","i7","8","128","1","AMD","Windows 10","2.2","985.00"
"251","HP","Notebook","15.6","1366x768","i5","8","1024","0","Intel","Windows 10","2.04","559.00"
"252","Asus","Gaming","17.3","1920x1080","i7","16","256","1","Nvidia","Windows 10","3.6","2999.00"
"253","HP","Notebook","13.3","1920x1080","i5","4","512","0","Intel","Windows 10","1.49","675.00"
"254","Apple","Ultrabook","13.3","4k","i5","8","512","1","Intel","Mac OS X","1.37","2040.00"
"255","Dell","2 in 1 Convertible","15.6","1920x1080","i7","8","1024","0","Intel","Windows 10","2.08","819.00"
"256","Asus","Gaming","17.3","1920x1080","i7","16","256","1","Nvidia","Windows 10","4.3","1799.00"
"257","Asus","Notebook","15.6","1366x768","AMD","4","1024","0","AMD","Windows 10","1.68","469.00"
"258","Lenovo","2 in 1 Convertible","13.9","1920x1080","i7","8","512","1","Intel","Windows 10","1.37","1849.00"
"259","Acer","Notebook","17.3","1920x1080","i3","4","256","1","Nvidia","Windows 10","3","702.00"
"260","Dell","Ultrabook","13.3","1920x1080","i5","8","256","1","Intel","Windows 10","1.41","949.00"
"261","HP","Notebook","15.6","1366x768","AMD","8","128","1","AMD","Windows 10","1.91","445.90"
"262","HP","Notebook","17.3","1920x1080","i7","16","1024","0","Nvidia","Windows 10","2.9","1059.00"
"263","MSI","Gaming","17.3","1920x1080","i7","16","512","1","Nvidia","Windows 10","4.14","2499.00"
"264","Lenovo","2 in 1 Convertible","15.6","1920x1080","i7","8","512","1","Nvidia","Windows 10","2","1699.00"
"265","Dell","Notebook","17.3","1920x1080","i7","8","128","1","AMD","Windows 10","2.8","1142.00"
"266","Lenovo","Notebook","15.6","1920x1080","i3","4","256","1","Intel","No OS","2.2","444.00"
"267","HP","Notebook","15.6","1920x1080","i5","4","512","0","Intel","Windows 10","2.1","722.00"
"268","Dell","Notebook","15.6","1920x1080","i5","4","1024","0","Intel","Windows 10","2.18","657.00"
"269","Dell","Notebook","15.6","1920x1080","i5","8","1024","0","AMD","Windows 10","2.24","565.00"
"270","Dell","2 in 1 Convertible","15.6","1920x1080","i5","8","256","1","Intel","Windows 10","2.67","799.00"
"271","Asus","2 in 1 Convertible","13.3","1920x1080","i7","8","512","1","Intel","Windows 10","1.1","1499.00"
"272","Lenovo","Notebook","15.6","1920x1080","i5","4","1024","0","Intel","No OS","2.2","467.00"
"273","HP","Notebook","17.3","1920x1080","i7","8","1024","0","Nvidia","Windows 10","2.5","1018.00"
"274","Lenovo","Notebook","15.6","1920x1080","i7","8","256","1","Intel","Windows 10","2.05","880.00"
"275","Apple","Ultrabook","13.3","4k","i5","8","512","1","Intel","Mac OS X","1.37","1958.90"
"276","Asus","Gaming","17.3","1920x1080","AMD","16","256","1","AMD","Windows 10","3.2","1549.00"
"277","Dell","Notebook","15.6","1920x1080","i7","8","256","1","AMD","Linux","2.14","735.07"
"278","Lenovo","2 in 1 Convertible","14","4k","i7","16","512","1","Intel","Windows 10","1.36","2499.00"
"279","Toshiba","Notebook","15.6","1366x768","i7","8","512","0","Nvidia","Windows 10","2.2","812.00"
